mpath,Layer,Head,n_params,n_layers,mean_1back,mean_first
Gemstone-Models/Gemstone-256x23,1,1,48377600,23,0.38665722865421137,0.11773962837395005
Gemstone-Models/Gemstone-256x23,1,2,48377600,23,0.15821573081742352,0.16824271132213034
Gemstone-Models/Gemstone-256x23,2,1,48377600,23,0.6379237907963831,0.09726649884682692
Gemstone-Models/Gemstone-256x23,2,2,48377600,23,0.24979164858569608,0.188654979623787
Gemstone-Models/Gemstone-256x23,3,1,48377600,23,0.06792270613543394,0.37459651714711034
Gemstone-Models/Gemstone-256x23,3,2,48377600,23,0.21675097158139528,0.29472124027843405
Gemstone-Models/Gemstone-256x23,4,1,48377600,23,0.11778554370117791,0.2569503464117959
Gemstone-Models/Gemstone-256x23,4,2,48377600,23,0.11500917537859427,0.2762130816039201
Gemstone-Models/Gemstone-256x23,5,1,48377600,23,0.21173980756027916,0.2576681589539926
Gemstone-Models/Gemstone-256x23,5,2,48377600,23,0.24366279634403748,0.2828843767332422
Gemstone-Models/Gemstone-256x23,6,1,48377600,23,0.09811357026444269,0.2798812938294745
Gemstone-Models/Gemstone-256x23,6,2,48377600,23,0.07456030203211299,0.2899512650680031
Gemstone-Models/Gemstone-256x23,7,1,48377600,23,0.2931425030435527,0.19693719149866437
Gemstone-Models/Gemstone-256x23,7,2,48377600,23,0.48784014264921527,0.16968402665320992
Gemstone-Models/Gemstone-256x23,8,1,48377600,23,0.6511253268421591,0.1139529121105556
Gemstone-Models/Gemstone-256x23,8,2,48377600,23,0.181390677296274,0.1635536586714757
Gemstone-Models/Gemstone-256x23,9,1,48377600,23,0.28229476909737683,0.2262492165774912
Gemstone-Models/Gemstone-256x23,9,2,48377600,23,0.10542955525308932,0.2774723482293051
Gemstone-Models/Gemstone-256x23,10,1,48377600,23,0.058651147309589986,0.7520411743058099
Gemstone-Models/Gemstone-256x23,10,2,48377600,23,0.25770219347185197,0.46261223564455817
Gemstone-Models/Gemstone-256x23,11,1,48377600,23,0.30810062092793233,0.33852748610862377
Gemstone-Models/Gemstone-256x23,11,2,48377600,23,0.08329289498551556,0.6278818723138746
Gemstone-Models/Gemstone-256x23,12,1,48377600,23,0.07517604678645502,0.6026779482135544
Gemstone-Models/Gemstone-256x23,12,2,48377600,23,0.16480800100006496,0.40676071322537044
Gemstone-Models/Gemstone-256x23,13,1,48377600,23,0.1524400045485557,0.4240782323318559
Gemstone-Models/Gemstone-256x23,13,2,48377600,23,0.19116364637607922,0.4070179372265174
Gemstone-Models/Gemstone-256x23,14,1,48377600,23,0.16125189099046916,0.3102907403274341
Gemstone-Models/Gemstone-256x23,14,2,48377600,23,0.7573611546565104,0.1728046745643601
Gemstone-Models/Gemstone-256x23,15,1,48377600,23,0.05582771826166286,0.9026257602481155
Gemstone-Models/Gemstone-256x23,15,2,48377600,23,0.05096558272676376,0.9803448682790762
Gemstone-Models/Gemstone-256x23,16,1,48377600,23,0.051170019323828475,0.9788234403899482
Gemstone-Models/Gemstone-256x23,16,2,48377600,23,0.06278821478063633,0.9075540212002603
Gemstone-Models/Gemstone-256x23,17,1,48377600,23,0.10473581221144833,0.6917570716178453
Gemstone-Models/Gemstone-256x23,17,2,48377600,23,0.06754444465153027,0.7821354644524084
Gemstone-Models/Gemstone-256x23,18,1,48377600,23,0.12470453419350642,0.6355631846833873
Gemstone-Models/Gemstone-256x23,18,2,48377600,23,0.08587400836159692,0.6784925859074693
Gemstone-Models/Gemstone-256x23,19,1,48377600,23,0.31385786480105315,0.4429253936261386
Gemstone-Models/Gemstone-256x23,19,2,48377600,23,0.13175188972091706,0.5225455287519518
Gemstone-Models/Gemstone-256x23,20,1,48377600,23,0.05653004827923151,0.8779205406034315
Gemstone-Models/Gemstone-256x23,20,2,48377600,23,0.09121705419118246,0.7700437378059994
Gemstone-Models/Gemstone-256x23,21,1,48377600,23,0.0947089696096049,0.5148072195303691
Gemstone-Models/Gemstone-256x23,21,2,48377600,23,0.06658027471566161,0.7626798260319341
Gemstone-Models/Gemstone-256x23,22,1,48377600,23,0.17400698210518278,0.3894224529330795
Gemstone-Models/Gemstone-256x23,22,2,48377600,23,0.062170507769483484,0.5999261510891242
Gemstone-Models/Gemstone-256x23,23,1,48377600,23,0.27554218773100825,0.12985576490393358
Gemstone-Models/Gemstone-256x23,23,2,48377600,23,0.1297072716583092,0.22832627474210102
