mpath,step_modded,revision,Layer,Head,n_params,n_layers,mean_1back,mean_first
EleutherAI/pythia-1.4b,129,step128,1,1,1414647808,24,0.12480461115280425,0.165171112954706
EleutherAI/pythia-1.4b,129,step128,1,2,1414647808,24,0.12558694076430685,0.1649910800729517
EleutherAI/pythia-1.4b,129,step128,1,3,1414647808,24,0.12965567251695342,0.16906767112535753
EleutherAI/pythia-1.4b,129,step128,1,4,1414647808,24,0.12090026158224172,0.16093716099746408
EleutherAI/pythia-1.4b,129,step128,1,5,1414647808,24,0.1265228257679545,0.1654904613176265
EleutherAI/pythia-1.4b,129,step128,1,6,1414647808,24,0.1257690350628561,0.16667265535049786
EleutherAI/pythia-1.4b,129,step128,1,7,1414647808,24,0.12630524444911212,0.16688219123371725
EleutherAI/pythia-1.4b,129,step128,1,8,1414647808,24,0.1253225504624861,0.16506531589605783
EleutherAI/pythia-1.4b,129,step128,1,9,1414647808,24,0.12197111012811233,0.1626774517164842
EleutherAI/pythia-1.4b,129,step128,1,10,1414647808,24,0.12634041626286038,0.1664459784724959
EleutherAI/pythia-1.4b,129,step128,1,11,1414647808,24,0.12415211490570778,0.16409495625611356
EleutherAI/pythia-1.4b,129,step128,1,12,1414647808,24,0.12589184580756732,0.16722184211552676
EleutherAI/pythia-1.4b,129,step128,1,13,1414647808,24,0.1245193113894523,0.16505643443481338
EleutherAI/pythia-1.4b,129,step128,1,14,1414647808,24,0.12499873545412361,0.16462994976578885
EleutherAI/pythia-1.4b,129,step128,1,15,1414647808,24,0.12244132814464623,0.16256291570852285
EleutherAI/pythia-1.4b,129,step128,1,16,1414647808,24,0.12376674666284794,0.1651315269684111
EleutherAI/pythia-1.4b,129,step128,2,1,1414647808,24,0.1265422513669317,0.16824339291601026
EleutherAI/pythia-1.4b,129,step128,2,2,1414647808,24,0.1271909930975408,0.1645766063327635
EleutherAI/pythia-1.4b,129,step128,2,3,1414647808,24,0.12604056688601722,0.16523635834343614
EleutherAI/pythia-1.4b,129,step128,2,4,1414647808,24,0.1256348808315602,0.16581327339505644
EleutherAI/pythia-1.4b,129,step128,2,5,1414647808,24,0.12536222510621528,0.16568622030541522
EleutherAI/pythia-1.4b,129,step128,2,6,1414647808,24,0.12445737603861644,0.16998046317750265
EleutherAI/pythia-1.4b,129,step128,2,7,1414647808,24,0.12485766725183961,0.1655705324611864
EleutherAI/pythia-1.4b,129,step128,2,8,1414647808,24,0.12594467475339094,0.16586018754756662
EleutherAI/pythia-1.4b,129,step128,2,9,1414647808,24,0.1284040002370471,0.16392722266639492
EleutherAI/pythia-1.4b,129,step128,2,10,1414647808,24,0.12590599329107333,0.16398926850620865
EleutherAI/pythia-1.4b,129,step128,2,11,1414647808,24,0.12490435912869531,0.1630928005810614
EleutherAI/pythia-1.4b,129,step128,2,12,1414647808,24,0.12549957230284403,0.1641265476016221
EleutherAI/pythia-1.4b,129,step128,2,13,1414647808,24,0.12444915161006619,0.16360653886521181
EleutherAI/pythia-1.4b,129,step128,2,14,1414647808,24,0.1265202140150306,0.1668079384957795
EleutherAI/pythia-1.4b,129,step128,2,15,1414647808,24,0.12452666842946415,0.16603328077284776
EleutherAI/pythia-1.4b,129,step128,2,16,1414647808,24,0.12482439965994147,0.166799310382243
EleutherAI/pythia-1.4b,129,step128,3,1,1414647808,24,0.12857168700333468,0.1635634526051021
EleutherAI/pythia-1.4b,129,step128,3,2,1414647808,24,0.12446881050954348,0.16456556803471328
EleutherAI/pythia-1.4b,129,step128,3,3,1414647808,24,0.125358376500977,0.16604967319124092
EleutherAI/pythia-1.4b,129,step128,3,4,1414647808,24,0.12575367647964314,0.16411795292620182
EleutherAI/pythia-1.4b,129,step128,3,5,1414647808,24,0.12732258972686686,0.1678516539512901
EleutherAI/pythia-1.4b,129,step128,3,6,1414647808,24,0.1260375630546797,0.16723575303191174
EleutherAI/pythia-1.4b,129,step128,3,7,1414647808,24,0.12569814007002128,0.15952980377943482
EleutherAI/pythia-1.4b,129,step128,3,8,1414647808,24,0.12599333592161935,0.1658721015293587
EleutherAI/pythia-1.4b,129,step128,3,9,1414647808,24,0.1247895429744287,0.16316596944970227
EleutherAI/pythia-1.4b,129,step128,3,10,1414647808,24,0.1275076704217238,0.16798723322918283
EleutherAI/pythia-1.4b,129,step128,3,11,1414647808,24,0.1273254822749454,0.16175249239077436
EleutherAI/pythia-1.4b,129,step128,3,12,1414647808,24,0.12423133723124544,0.16362403222435226
EleutherAI/pythia-1.4b,129,step128,3,13,1414647808,24,0.12534155997562332,0.16521460392341775
EleutherAI/pythia-1.4b,129,step128,3,14,1414647808,24,0.12662802137680593,0.1670507383351032
EleutherAI/pythia-1.4b,129,step128,3,15,1414647808,24,0.12650191510940811,0.16578444580102822
EleutherAI/pythia-1.4b,129,step128,3,16,1414647808,24,0.12594346878295004,0.16690655646135316
EleutherAI/pythia-1.4b,129,step128,4,1,1414647808,24,0.12631882435163932,0.16187415377155792
EleutherAI/pythia-1.4b,129,step128,4,2,1414647808,24,0.12988070117773948,0.16353452358920648
EleutherAI/pythia-1.4b,129,step128,4,3,1414647808,24,0.126370243571542,0.1711517226387251
EleutherAI/pythia-1.4b,129,step128,4,4,1414647808,24,0.12485038499731017,0.1655171306093444
EleutherAI/pythia-1.4b,129,step128,4,5,1414647808,24,0.12586252927757774,0.16727371981462555
EleutherAI/pythia-1.4b,129,step128,4,6,1414647808,24,0.12953096080582596,0.16607467072257942
EleutherAI/pythia-1.4b,129,step128,4,7,1414647808,24,0.1230666568732118,0.16399565864880158
EleutherAI/pythia-1.4b,129,step128,4,8,1414647808,24,0.12524527848863204,0.16690690932353514
EleutherAI/pythia-1.4b,129,step128,4,9,1414647808,24,0.12752769701182837,0.16414179997490685
EleutherAI/pythia-1.4b,129,step128,4,10,1414647808,24,0.12727196158298676,0.16604221663675506
EleutherAI/pythia-1.4b,129,step128,4,11,1414647808,24,0.12373728931017283,0.1674876183931444
EleutherAI/pythia-1.4b,129,step128,4,12,1414647808,24,0.12928360450017198,0.16578074329317327
EleutherAI/pythia-1.4b,129,step128,4,13,1414647808,24,0.1275108792894595,0.16620011931962075
EleutherAI/pythia-1.4b,129,step128,4,14,1414647808,24,0.12402554372655554,0.16734008724848784
EleutherAI/pythia-1.4b,129,step128,4,15,1414647808,24,0.126621090446238,0.16692244382882795
EleutherAI/pythia-1.4b,129,step128,4,16,1414647808,24,0.1272121486407858,0.16219501244883097
EleutherAI/pythia-1.4b,129,step128,5,1,1414647808,24,0.12645848102688606,0.16350522693861888
EleutherAI/pythia-1.4b,129,step128,5,2,1414647808,24,0.12761922067103976,0.16373311403255023
EleutherAI/pythia-1.4b,129,step128,5,3,1414647808,24,0.1295907532309626,0.16970600534577265
EleutherAI/pythia-1.4b,129,step128,5,4,1414647808,24,0.12362251910115322,0.1678451066696876
EleutherAI/pythia-1.4b,129,step128,5,5,1414647808,24,0.12519514466168818,0.16501473140407785
EleutherAI/pythia-1.4b,129,step128,5,6,1414647808,24,0.12781719418729207,0.1672830885337727
EleutherAI/pythia-1.4b,129,step128,5,7,1414647808,24,0.12474926994056311,0.16660075805879923
EleutherAI/pythia-1.4b,129,step128,5,8,1414647808,24,0.12867132763940467,0.16357114949674753
EleutherAI/pythia-1.4b,129,step128,5,9,1414647808,24,0.1275705869222904,0.16306554050640654
EleutherAI/pythia-1.4b,129,step128,5,10,1414647808,24,0.12399229972816261,0.16810987711892467
EleutherAI/pythia-1.4b,129,step128,5,11,1414647808,24,0.12650431558914904,0.16813466919994385
EleutherAI/pythia-1.4b,129,step128,5,12,1414647808,24,0.12629635458638713,0.16804274736537228
EleutherAI/pythia-1.4b,129,step128,5,13,1414647808,24,0.12672226036431727,0.16745365477606158
EleutherAI/pythia-1.4b,129,step128,5,14,1414647808,24,0.12579765161862957,0.16678294289980203
EleutherAI/pythia-1.4b,129,step128,5,15,1414647808,24,0.1255389790500964,0.16476440406754028
EleutherAI/pythia-1.4b,129,step128,5,16,1414647808,24,0.1250583805624876,0.1630573155576581
EleutherAI/pythia-1.4b,129,step128,6,1,1414647808,24,0.129788698863473,0.1659183880319824
EleutherAI/pythia-1.4b,129,step128,6,2,1414647808,24,0.12678350306845995,0.1702463037359553
EleutherAI/pythia-1.4b,129,step128,6,3,1414647808,24,0.1274516962513372,0.16976499609514933
EleutherAI/pythia-1.4b,129,step128,6,4,1414647808,24,0.12495624605152338,0.16912269561520743
EleutherAI/pythia-1.4b,129,step128,6,5,1414647808,24,0.12489938169896778,0.1683633276638952
EleutherAI/pythia-1.4b,129,step128,6,6,1414647808,24,0.12491617518457561,0.16764271172048806
EleutherAI/pythia-1.4b,129,step128,6,7,1414647808,24,0.12711651047115566,0.17248416832975436
EleutherAI/pythia-1.4b,129,step128,6,8,1414647808,24,0.12543750024616,0.1626409334340342
EleutherAI/pythia-1.4b,129,step128,6,9,1414647808,24,0.126101189094397,0.16497623030510208
EleutherAI/pythia-1.4b,129,step128,6,10,1414647808,24,0.13031492359354507,0.17193097254826317
EleutherAI/pythia-1.4b,129,step128,6,11,1414647808,24,0.12331062183902781,0.16688715995991368
EleutherAI/pythia-1.4b,129,step128,6,12,1414647808,24,0.12627837592707913,0.1647110393791048
EleutherAI/pythia-1.4b,129,step128,6,13,1414647808,24,0.12590043473283982,0.16822619795486013
EleutherAI/pythia-1.4b,129,step128,6,14,1414647808,24,0.1256021583682155,0.16895342987959266
EleutherAI/pythia-1.4b,129,step128,6,15,1414647808,24,0.12427373129214427,0.16734039137984535
EleutherAI/pythia-1.4b,129,step128,6,16,1414647808,24,0.12690781749359833,0.16401866914609348
EleutherAI/pythia-1.4b,129,step128,7,1,1414647808,24,0.12581506751858074,0.16967130107273742
EleutherAI/pythia-1.4b,129,step128,7,2,1414647808,24,0.13030973087448075,0.16679786880117453
EleutherAI/pythia-1.4b,129,step128,7,3,1414647808,24,0.12640514913331097,0.1648470242046289
EleutherAI/pythia-1.4b,129,step128,7,4,1414647808,24,0.12410453011704095,0.1641570487347719
EleutherAI/pythia-1.4b,129,step128,7,5,1414647808,24,0.1288530150143144,0.16467020981707367
EleutherAI/pythia-1.4b,129,step128,7,6,1414647808,24,0.1268278365568803,0.1607823366964901
EleutherAI/pythia-1.4b,129,step128,7,7,1414647808,24,0.12494815835678895,0.16566235101683893
EleutherAI/pythia-1.4b,129,step128,7,8,1414647808,24,0.12515751755161503,0.16021569238209327
EleutherAI/pythia-1.4b,129,step128,7,9,1414647808,24,0.12810143013974207,0.161472458851051
EleutherAI/pythia-1.4b,129,step128,7,10,1414647808,24,0.12775926175037836,0.1658707581370979
EleutherAI/pythia-1.4b,129,step128,7,11,1414647808,24,0.12291842004893953,0.1665260033184164
EleutherAI/pythia-1.4b,129,step128,7,12,1414647808,24,0.12351626940854672,0.16419212234852545
EleutherAI/pythia-1.4b,129,step128,7,13,1414647808,24,0.12923926490921153,0.16391328783208003
EleutherAI/pythia-1.4b,129,step128,7,14,1414647808,24,0.12400119851815983,0.1607836513436055
EleutherAI/pythia-1.4b,129,step128,7,15,1414647808,24,0.12470314671305023,0.16564609054979437
EleutherAI/pythia-1.4b,129,step128,7,16,1414647808,24,0.12856800832391319,0.16385561582428196
EleutherAI/pythia-1.4b,129,step128,8,1,1414647808,24,0.1284459561791953,0.16785690956958776
EleutherAI/pythia-1.4b,129,step128,8,2,1414647808,24,0.1260363645516,0.17113441264105805
EleutherAI/pythia-1.4b,129,step128,8,3,1414647808,24,0.12513915913084422,0.16422676533885722
EleutherAI/pythia-1.4b,129,step128,8,4,1414647808,24,0.12769029167545087,0.1709764298029221
EleutherAI/pythia-1.4b,129,step128,8,5,1414647808,24,0.12973601409645227,0.16320418428305208
EleutherAI/pythia-1.4b,129,step128,8,6,1414647808,24,0.13095390759744083,0.1627125493544447
EleutherAI/pythia-1.4b,129,step128,8,7,1414647808,24,0.1221913953868297,0.1743786174065626
EleutherAI/pythia-1.4b,129,step128,8,8,1414647808,24,0.12646057013724296,0.16494815028622162
EleutherAI/pythia-1.4b,129,step128,8,9,1414647808,24,0.12867534553839097,0.16768177345327961
EleutherAI/pythia-1.4b,129,step128,8,10,1414647808,24,0.1304031317052361,0.16554806117449433
EleutherAI/pythia-1.4b,129,step128,8,11,1414647808,24,0.12652965728473195,0.1614100974243324
EleutherAI/pythia-1.4b,129,step128,8,12,1414647808,24,0.12816705162617353,0.15672062406758283
