mpath,step_modded,revision,Layer,Head,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction,mean_1back
EleutherAI/pythia-14m,17,step16,1,1,14067712,6,0.811038994912833,2.9754960299459743,0.007412717149126925,0.12856776388110336
EleutherAI/pythia-14m,17,step16,1,2,14067712,6,0.8165580312089425,2.9757564615258874,0.007369265537333234,0.1281433686188928
EleutherAI/pythia-14m,17,step16,1,3,14067712,6,0.813383042867427,2.9788903290476223,0.007300368398404794,0.1278416585993838
EleutherAI/pythia-14m,17,step16,1,4,14067712,6,0.8030232243653457,2.985267129306742,0.007319042658004542,0.12814011274313958
EleutherAI/pythia-14m,17,step16,2,1,14067712,6,0.7971858980914414,2.954452251583678,0.007274443051145791,0.12705386737669191
EleutherAI/pythia-14m,17,step16,2,2,14067712,6,0.7083823735803468,2.8280941421185215,0.006938347216988111,0.12137660629174726
EleutherAI/pythia-14m,17,step16,2,3,14067712,6,0.7752301297733947,2.9430106354495273,0.007281074042918294,0.1267401253127747
EleutherAI/pythia-14m,17,step16,2,4,14067712,6,0.7806834506248413,2.919471302658368,0.007196274024205386,0.12575225132117576
EleutherAI/pythia-14m,17,step16,3,1,14067712,6,0.7992836770334136,2.94758031212743,0.007338558293711842,0.12743997106233512
EleutherAI/pythia-14m,17,step16,3,2,14067712,6,0.8010662209156802,3.001855754550579,0.007385867914331292,0.12905486514260456
EleutherAI/pythia-14m,17,step16,3,3,14067712,6,0.802013893913789,2.976630838222076,0.0072902600232752374,0.1279146473507981
EleutherAI/pythia-14m,17,step16,3,4,14067712,6,0.7809003047835351,2.8955570158305974,0.007125416144594947,0.12452231615490916
EleutherAI/pythia-14m,17,step16,4,1,14067712,6,0.7498929459184753,2.890422692297117,0.0071245202939388096,0.12429719518970794
EleutherAI/pythia-14m,17,step16,4,2,14067712,6,0.7891750412734004,2.956148610679539,0.007252345539275113,0.12697020022047528
EleutherAI/pythia-14m,17,step16,4,3,14067712,6,0.7643240851123099,2.919766416273466,0.007161214612959595,0.1254011470846854
EleutherAI/pythia-14m,17,step16,4,4,14067712,6,0.7563980598442492,2.8803462455451174,0.00702271245801306,0.12335410045163406
EleutherAI/pythia-14m,17,step16,5,1,14067712,6,0.7646531349804242,2.9187477870662697,0.007190515051333907,0.12552163741542946
EleutherAI/pythia-14m,17,step16,5,2,14067712,6,0.8235325158650391,3.09793442361128,0.007513756803464515,0.1324065474362613
EleutherAI/pythia-14m,17,step16,5,3,14067712,6,0.81753222020944,2.95862547740747,0.007285371295065402,0.12718544592213876
EleutherAI/pythia-14m,17,step16,5,4,14067712,6,0.7521133408493018,2.9077910186112153,0.007143295398261723,0.12481908547739541
EleutherAI/pythia-14m,17,step16,6,1,14067712,6,0.794451591948285,2.9396594172037775,0.007250085150651497,0.12648491800256495
EleutherAI/pythia-14m,17,step16,6,2,14067712,6,0.8467285445432114,3.032282931422617,0.00745048532220348,0.1303260671618106
EleutherAI/pythia-14m,17,step16,6,3,14067712,6,0.7308037506044079,2.8696246884478414,0.007099805684227884,0.1237112575073589
EleutherAI/pythia-14m,17,step16,6,4,14067712,6,0.7978736813470508,2.9793863958516464,0.007297304803177931,0.12782955258055487
