mpath,step_modded,revision,Layer,Head,n_params,n_layers,mean_1back,mean_first
EleutherAI/pythia-160m,10001,step10000,1,1,162322944,12,0.355511384817573,0.12496193064315178
EleutherAI/pythia-160m,10001,step10000,1,2,162322944,12,0.12619968059587403,0.14023376809427504
EleutherAI/pythia-160m,10001,step10000,1,3,162322944,12,0.19846517109387626,0.14911442154643678
EleutherAI/pythia-160m,10001,step10000,1,4,162322944,12,0.23921238645553228,0.1562625732602881
EleutherAI/pythia-160m,10001,step10000,1,5,162322944,12,0.15243202965852015,0.1360575121047126
EleutherAI/pythia-160m,10001,step10000,1,6,162322944,12,0.11124156301913851,0.1266254089107071
EleutherAI/pythia-160m,10001,step10000,1,7,162322944,12,0.13336561947456885,0.15529347216716038
EleutherAI/pythia-160m,10001,step10000,1,8,162322944,12,0.07451642365628351,0.10428834553282178
EleutherAI/pythia-160m,10001,step10000,1,9,162322944,12,0.2732097409195728,0.1556171812620517
EleutherAI/pythia-160m,10001,step10000,1,10,162322944,12,0.13308723764242347,0.1459668303697227
EleutherAI/pythia-160m,10001,step10000,1,11,162322944,12,0.13464213265022174,0.1449859005150136
EleutherAI/pythia-160m,10001,step10000,1,12,162322944,12,0.11428309289609881,0.174608342981598
EleutherAI/pythia-160m,10001,step10000,2,1,162322944,12,0.34159982716804504,0.11418504767153441
EleutherAI/pythia-160m,10001,step10000,2,2,162322944,12,0.42936223011475066,0.10345550479686202
EleutherAI/pythia-160m,10001,step10000,2,3,162322944,12,0.48671923260073047,0.1139287080324895
EleutherAI/pythia-160m,10001,step10000,2,4,162322944,12,0.11775743640825014,0.14284027378737654
EleutherAI/pythia-160m,10001,step10000,2,5,162322944,12,0.13004223620323263,0.16511784664525817
EleutherAI/pythia-160m,10001,step10000,2,6,162322944,12,0.1952361474009426,0.1468726024563024
EleutherAI/pythia-160m,10001,step10000,2,7,162322944,12,0.08656613805608165,0.12589728771834754
EleutherAI/pythia-160m,10001,step10000,2,8,162322944,12,0.36596017776129836,0.0860042037587758
EleutherAI/pythia-160m,10001,step10000,2,9,162322944,12,0.1390512259593149,0.1042459097581806
EleutherAI/pythia-160m,10001,step10000,2,10,162322944,12,0.14400425397821728,0.16791776638175987
EleutherAI/pythia-160m,10001,step10000,2,11,162322944,12,0.10967286056125751,0.08225206055821058
EleutherAI/pythia-160m,10001,step10000,2,12,162322944,12,0.17516667234736516,0.15188212718467808
EleutherAI/pythia-160m,10001,step10000,3,1,162322944,12,0.19098183966882232,0.16340587740657742
EleutherAI/pythia-160m,10001,step10000,3,2,162322944,12,0.34218837636279625,0.1387645639395257
EleutherAI/pythia-160m,10001,step10000,3,3,162322944,12,0.19074408849841118,0.1482085576197048
EleutherAI/pythia-160m,10001,step10000,3,4,162322944,12,0.17407528148801832,0.12656639883289103
EleutherAI/pythia-160m,10001,step10000,3,5,162322944,12,0.20401899556855893,0.12960891746118794
EleutherAI/pythia-160m,10001,step10000,3,6,162322944,12,0.17539629298779696,0.13917256875226533
