mpath,step_modded,revision,Layer,Head,seed,seed_name,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction,mean_1back,mean_first
EleutherAI/pythia-70m,17,step16,1,1,9,seed9,70426624,6,0.7823510001351329,2.9386227633017126,0.007190365778781676,0.1260526010839341,0.16605519847357053
EleutherAI/pythia-70m,17,step16,1,2,9,seed9,70426624,6,0.801050962695266,2.957940208260117,0.00723365295695912,0.12695283983070565,0.16640209284675367
EleutherAI/pythia-70m,17,step16,1,3,9,seed9,70426624,6,0.7498406014080353,2.8935023902235995,0.007136087199953513,0.12444160632543015,0.1642753984219766
EleutherAI/pythia-70m,17,step16,1,4,9,seed9,70426624,6,0.7804258297398371,2.9402406193178985,0.007154721192516081,0.12593536335672878,0.16672152851347447
EleutherAI/pythia-70m,17,step16,1,5,9,seed9,70426624,6,0.7593468374294279,2.887283588076853,0.00707017651388533,0.12398403801874172,0.16550570240876333
EleutherAI/pythia-70m,17,step16,1,6,9,seed9,70426624,6,0.7587295520910068,2.900521076453822,0.0070883678002643434,0.12417773091913877,0.16707784066664738
EleutherAI/pythia-70m,17,step16,1,7,9,seed9,70426624,6,0.7848358341341364,2.942560325781235,0.00722331540457758,0.1263632047585807,0.16684690038407882
EleutherAI/pythia-70m,17,step16,1,8,9,seed9,70426624,6,0.822678745475939,2.9667557850078783,0.007279864823442302,0.12749332781914652,0.16855117131035782
EleutherAI/pythia-70m,17,step16,2,1,9,seed9,70426624,6,0.7757941873886859,2.929625585858973,0.007197298068145779,0.1258630310674687,0.16588086068249855
EleutherAI/pythia-70m,17,step16,2,2,9,seed9,70426624,6,0.7799623333576885,2.9004327502404417,0.007151315395289857,0.12478480726346235,0.16623084443445138
EleutherAI/pythia-70m,17,step16,2,3,9,seed9,70426624,6,0.7777078656538524,2.902986746570629,0.007177833848536742,0.12507940041231316,0.16694159392412894
EleutherAI/pythia-70m,17,step16,2,4,9,seed9,70426624,6,0.7957568340065535,2.977105309572481,0.007328440684511061,0.1279287420202035,0.16588039973096264
EleutherAI/pythia-70m,17,step16,2,5,9,seed9,70426624,6,0.7796606363217707,2.93787051705385,0.007231551283458104,0.126412101889829,0.16284191586054836
EleutherAI/pythia-70m,17,step16,2,6,9,seed9,70426624,6,0.7524035227232005,2.941586219488503,0.007211728991378635,0.12632374736751698,0.1646640637593047
EleutherAI/pythia-70m,17,step16,2,7,9,seed9,70426624,6,0.7270593552267448,2.842352622155947,0.006916733480902031,0.12174535420228227,0.1675114426314383
EleutherAI/pythia-70m,17,step16,2,8,9,seed9,70426624,6,0.7775230892763899,2.923499192834763,0.007211646230357195,0.1257562856763243,0.16515384666487437
EleutherAI/pythia-70m,17,step16,3,1,9,seed9,70426624,6,0.7630021476467833,2.9280188217384246,0.007189619941141339,0.12588073961526242,0.16410478429348616
EleutherAI/pythia-70m,17,step16,3,2,9,seed9,70426624,6,0.7905213284366042,3.0176529431784718,0.007381748261419628,0.12953603774443398,0.16070085340501128
EleutherAI/pythia-70m,17,step16,3,3,9,seed9,70426624,6,0.7499629589534221,2.8527683023274686,0.007017382877780964,0.12254691736453821,0.16291157711666443
EleutherAI/pythia-70m,17,step16,3,4,9,seed9,70426624,6,0.7749815547886107,2.905767430331635,0.007120691830564589,0.12462734739231808,0.16154971790944667
EleutherAI/pythia-70m,17,step16,3,5,9,seed9,70426624,6,0.7432004182439351,2.9094450613535723,0.007164615033509358,0.1251585994743638,0.16492045897845029
EleutherAI/pythia-70m,17,step16,3,6,9,seed9,70426624,6,0.778039714962065,2.92985545860982,0.007233541335869788,0.1260431806414245,0.16467368198340537
EleutherAI/pythia-70m,17,step16,3,7,9,seed9,70426624,6,0.7810126245838529,2.8757040748805123,0.007144304519793579,0.12404048838303071,0.1757557491741112
EleutherAI/pythia-70m,17,step16,3,8,9,seed9,70426624,6,0.7670808275973704,2.969134810723918,0.007295115909041419,0.1275639664941095,0.16675394982121902
EleutherAI/pythia-70m,17,step16,4,1,9,seed9,70426624,6,0.7483678954582004,2.8177075952669193,0.006997418995685622,0.12171048079211787,0.16447911459628164
EleutherAI/pythia-70m,17,step16,4,2,9,seed9,70426624,6,0.7834528006525082,2.881070454448583,0.0070854943729181516,0.12389667692955009,0.1727294108519951
EleutherAI/pythia-70m,17,step16,4,3,9,seed9,70426624,6,0.7523358025801803,2.9542005833864105,0.007238386595067596,0.1267690017383109,0.16230708523443685
EleutherAI/pythia-70m,17,step16,4,4,9,seed9,70426624,6,0.7812182574923017,2.931664749435686,0.007208931913141282,0.12598023558589247,0.16431667975656258
EleutherAI/pythia-70m,17,step16,4,5,9,seed9,70426624,6,0.8003651454485283,2.909683261483832,0.0071689025125460885,0.1251005609785472,0.16855525831739462
EleutherAI/pythia-70m,17,step16,4,6,9,seed9,70426624,6,0.7509971217907103,2.90641531623916,0.007151012815852932,0.12491279601625668,0.1628227058193973
