mpath,step,revision,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,0,0,0.0150597607716918,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,0,1,0.014974279329180717,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,0,2,0.014421761967241764,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,0,3,0.014822321943938732,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,0,4,0.014301210641860962,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,0,5,0.013826205395162106,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,0,6,0.012473716400563717,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,0,7,0.015417490154504776,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,1,0,0.01436629518866539,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,1,1,0.012790046632289886,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,1,2,0.013039018027484417,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,1,3,0.013599051162600517,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,1,4,0.013598402962088585,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,1,5,0.013129720464348793,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,1,6,0.014169671572744846,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,1,7,0.014253403060138226,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,2,0,0.013985100202262402,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,2,1,0.012942914851009846,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,2,2,0.01453163381665945,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,2,3,0.01387315709143877,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,2,4,0.01488875225186348,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,2,5,0.012693878263235092,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,2,6,0.01341264694929123,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,2,7,0.01282324269413948,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,3,0,0.016374729573726654,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,3,1,0.013954191468656063,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,3,2,0.014809435233473778,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,3,3,0.012119583785533905,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,3,4,0.0143776535987854,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,3,5,0.013256626203656197,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,3,6,0.013268791139125824,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,3,7,0.013888158835470676,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,4,0,0.013566350564360619,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,4,1,0.014802772551774979,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,4,2,0.013676987029612064,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,4,3,0.013411719352006912,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,4,4,0.01592358946800232,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,4,5,0.012202276848256588,0.0,22078.69921875
EleutherAI/pythia-1b,16,step16,1011781632,16,8,0,4,6,0.0117299510166049,0.0,22078.69921875
