mpath,step,revision,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,0,0.009779712185263634,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,1,0.01119152456521988,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,2,0.004698521923273802,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,3,0.005088899750262499,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,4,0.0040489244274795055,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,5,0.005705169402062893,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,6,0.002315424382686615,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,7,0.009173202328383923,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,8,0.011097016744315624,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,9,0.01734183356165886,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,10,0.012135603465139866,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,11,0.005279996898025274,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,12,0.007511515635997057,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,13,0.012306179851293564,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,14,0.0035263437312096357,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,15,0.01006670854985714,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,16,0.002039614599198103,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,17,0.01016122568398714,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,18,0.004786166828125715,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,19,0.006927104201167822,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,20,0.005806311499327421,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,21,0.0005556974792852998,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,22,0.007248538080602884,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,23,0.007777695544064045,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,24,0.010595531202852726,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,25,0.004767763428390026,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,26,0.0014167898334562778,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,27,0.009039773605763912,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,28,0.010478480719029903,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,29,0.010498184710741043,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,30,0.0017664263723418117,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,0,31,0.009632926434278488,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,0,0.007917667739093304,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,1,0.010245123878121376,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,2,0.009241072461009026,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,3,0.002334427321329713,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,4,0.006332413759082556,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,5,0.00855369120836258,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,6,0.0008875656640157104,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,7,0.008526559919118881,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,8,0.005278386641293764,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,9,0.00040281296242028475,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,10,0.0030447212047874928,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,11,3.0511925858079866e-14,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,12,2.92513707700337e-10,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,13,0.009213622659444809,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,14,0.004136564210057259,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,15,0.005286546889692545,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,16,0.0013497190084308386,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,17,0.0015374928480014205,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,18,0.0004645314475055784,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,19,0.007553818169981241,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,20,0.00475584389641881,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,21,0.004282250534743071,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,22,0.008120459504425526,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,23,0.006412534508854151,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,24,1.956112464540638e-05,0.9800000190734863,28.860000610351562
