mpath,step,revision,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,0,0.01443549059331417,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,1,0.01593235693871975,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,2,0.012909605167806149,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,3,0.014945842325687408,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,4,0.013366937637329102,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,5,0.013627607375383377,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,6,0.01538882963359356,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,7,0.011930610984563828,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,8,0.013278975151479244,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,9,0.01329471729695797,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,10,0.01321452111005783,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,11,0.012989870272576809,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,12,0.01308012381196022,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,13,0.013688717968761921,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,14,0.014236664399504662,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,0,15,0.015461673960089684,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,0,0.012977847829461098,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,1,0.014867937192320824,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,2,0.013496173545718193,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,3,0.013865037821233273,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,4,0.012807142920792103,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,5,0.013847818598151207,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,6,0.013998014852404594,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,7,0.014147162437438965,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,8,0.013872231356799603,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,9,0.012881893664598465,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,10,0.014421720057725906,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,11,0.012347156181931496,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,12,0.014830658212304115,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,13,0.01455372478812933,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,14,0.015034391544759274,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,1,15,0.014584233984351158,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,0,0.013211092911660671,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,1,0.014040488749742508,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,2,0.013423101976513863,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,3,0.015241673216223717,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,4,0.01279632467776537,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,5,0.01333631481975317,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,6,0.013884221203625202,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,7,0.013885557651519775,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,8,0.012761338613927364,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,9,0.014292270876467228,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,10,0.013473586179316044,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,11,0.013919749297201633,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,12,0.01288258470594883,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,13,0.013831717893481255,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,14,0.013684599660336971,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,2,15,0.014670445583760738,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,0,0.012775769457221031,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,1,0.014729427173733711,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,2,0.01420452632009983,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,3,0.013311078771948814,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,4,0.013010856695473194,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,5,0.016227450221776962,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,6,0.014952132478356361,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,7,0.014834797009825706,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,8,0.012388238683342934,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,9,0.01320475060492754,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,10,0.013431868515908718,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,11,0.013673326931893826,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,12,0.011647730134427547,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,13,0.012642563320696354,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,14,0.013066048733890057,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,3,15,0.013358991593122482,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,4,0,0.016587451100349426,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,4,1,0.01288901548832655,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,4,2,0.0137241305783391,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,4,3,0.013140559196472168,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,4,4,0.013030593283474445,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,4,5,0.013716009445488453,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,4,6,0.014596338383853436,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,4,7,0.014506084844470024,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,4,8,0.013655092567205429,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,4,9,0.014020741917192936,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,4,10,0.014402644708752632,0.0,22952.98046875
EleutherAI/pythia-410m,16,step16,405334016,24,16,0,4,11,0.013674415647983551,0.0,22952.98046875
